17,1470
18,1475
19,1495
20,1475
21,1425
22,1425
24,1450
25,1510
26,1420
27,1430
28,1485
29,1445
30,1440
31,1455
32,1425
33,1365
34,1485
35,1405
36,1465
37,1485
38,1515
40,1385
41,1375
42,1340
43,1330
44,1375
45,1375
46,1380
47,1355
48,1415
49,1390
50,1355
51,1355
52,1340
54,1335
55,1365
56,1365
57,1345
58,1360
59,1385
60,1430
61,1370
62,1385
63,1335
64,1350
65,1315
66,1330
67,1370
69,1375
70,1315
71,1355
72,1370
73,1350
74,1395
75,1355
76,1310
77,1330
78,1320
79,1385
80,1335
81,1345
82,1450
84,1405
85,1280
86,1340
87,1380
88,1390
89,1430
90,1395
91,1315
92,1390
93,1325
94,1375
95,1385
96,1340
97,1415
99,1395
100,1330
101,1355
102,1390
103,1325
104,1380
105,1360
106,1400
107,1445
109,1380
110,1360
111,1415
112,1450
113,1380
114,1325
115,1460
117,1395
118,1315
119,1385
120,1330
121,1390
122,1420
123,1420
125,1365
126,1335
127,1430
128,1375
129,1400
130,1420
131,1310
132,1385
134,1335
135,1315
136,1355
137,1405
138,1415
139,1345
140,1350
141,1385
143,1240
144,1345
145,1405
146,1380
147,1370
148,1355
149,1395
151,1280
152,1380
153,1400
154,1360
155,1370
156,1315
157,1355
158,1385
160,1355
161,1345
162,1350
163,1405
164,1345
165,1375
